"","theta=0.1,h=0","theta=0.1,h=1","theta=0.1,h=2","theta=0.1,h=3","theta=0.1,h=4","theta=0.1,h=5","theta=0.1,h=6","theta=0.1,h=7","theta=0.1,h=8","theta=0.1,h=9","theta=0.2,h=0","theta=0.2,h=1","theta=0.2,h=2","theta=0.2,h=3","theta=0.2,h=4","theta=0.2,h=5","theta=0.2,h=6","theta=0.2,h=7","theta=0.2,h=8","theta=0.2,h=9","theta=0.3,h=0","theta=0.3,h=1","theta=0.3,h=2","theta=0.3,h=3","theta=0.3,h=4","theta=0.3,h=5","theta=0.3,h=6","theta=0.3,h=7","theta=0.3,h=8","theta=0.3,h=9","theta=0.4,h=0","theta=0.4,h=1","theta=0.4,h=2","theta=0.4,h=3","theta=0.4,h=4","theta=0.4,h=5","theta=0.4,h=6","theta=0.4,h=7","theta=0.4,h=8","theta=0.4,h=9","theta=0.5,h=0","theta=0.5,h=1","theta=0.5,h=2","theta=0.5,h=3","theta=0.5,h=4","theta=0.5,h=5","theta=0.5,h=6","theta=0.5,h=7","theta=0.5,h=8","theta=0.5,h=9","theta=0.6,h=0","theta=0.6,h=1","theta=0.6,h=2","theta=0.6,h=3","theta=0.6,h=4","theta=0.6,h=5","theta=0.6,h=6","theta=0.6,h=7","theta=0.6,h=8","theta=0.6,h=9","theta=0.7,h=0","theta=0.7,h=1","theta=0.7,h=2","theta=0.7,h=3","theta=0.7,h=4","theta=0.7,h=5","theta=0.7,h=6","theta=0.7,h=7","theta=0.7,h=8","theta=0.7,h=9","theta=0.8,h=0","theta=0.8,h=1","theta=0.8,h=2","theta=0.8,h=3","theta=0.8,h=4","theta=0.8,h=5","theta=0.8,h=6","theta=0.8,h=7","theta=0.8,h=8","theta=0.8,h=9","theta=0.9,h=0","theta=0.9,h=1","theta=0.9,h=2","theta=0.9,h=3","theta=0.9,h=4","theta=0.9,h=5","theta=0.9,h=6","theta=0.9,h=7","theta=0.9,h=8","theta=0.9,h=9"
"2009",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2010",0.38720536,0.38720536,0.38720536,0.38720536,0.38720536,0.38720536,0.38720536,0.38720536,0.38720536,0.38720536,0.33333331,0.33333331,0.33333331,0.33333331,0.33333331,0.33333331,0.33333331,0.33333331,0.33333331,0.33333331,0.11447811,0.11447811,0.11447811,0.11447811,0.11447811,0.11447811,0.11447811,0.11447811,0.11447811,0.11447811,0.11447811,0.11447811,0.11447811,0.11447811,0.11447811,0.11447811,0.11447811,0.11447811,0.11447811,0.11447811,0.101010097,0.101010097,0.101010097,0.101010097,0.101010097,0.101010097,0.101010097,0.101010097,0.101010097,0.101010097,0.101010097,0.101010097,0.101010097,0.101010097,0.101010097,0.101010097,0.101010097,0.101010097,0.101010097,0.101010097,0.101010097,0.101010097,0.101010097,0.101010097,0.101010097,0.101010097,0.101010097,0.101010097,0.101010097,0.101010097,0.101010097,0.101010097,0.101010097,0.101010097,0.101010097,0.101010097,0.101010097,0.101010097,0.101010097,0.101010097,0.101010097,0.101010097,0.101010097,0.101010097,0.101010097,0.101010097,0.101010097,0.101010097,0.101010097,0.101010097
"2011",1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,0.8666667,0.8666667,0.8666667,0.8666667,0.8666667,0.8666667,0.8666667,0.8666667,0.8666667,0.8666667,0.8666667,0.8666667,0.8666667,0.8666667,0.8666667,0.8666667,0.8666667,0.8666667,0.8666667,0.8666667,0.7666667,0.7666667,0.7666667,0.7666667,0.7666667,0.7666667,0.7666667,0.7666667,0.7666667,0.7666667,0.70833337,0.70833337,0.70833337,0.70833337,0.70833337,0.70833337,0.70833337,0.70833337,0.70833337,0.70833337,0.70833337,0.70833337,0.70833337,0.70833337,0.70833337,0.70833337,0.70833337,0.70833337,0.70833337,0.70833337,0.70833337,0.70833337,0.70833337,0.70833337,0.70833337,0.70833337,0.70833337,0.70833337,0.70833337,0.70833337,0.70833337,0.70833337,0.70833337,0.70833337,0.70833337,0.70833337,0.70833337,0.70833337,0.70833337,0.70833337,0.70833337,0.70833337,0.70833337,0.70833337,0.70833337,0.70833337,0.70833337,0.70833337,0.70833337,0.70833337
"2012",2.4117648,3.17647071,3.17647071,3.17647071,3.17647071,3.17647071,3.17647071,3.17647071,3.17647071,3.17647071,2.5882354,3.00000011,3.00000011,3.00000011,3.00000011,3.00000011,3.00000011,3.00000011,3.00000011,3.00000011,1.94117659,2.3529413,2.3529413,2.3529413,2.3529413,2.3529413,2.3529413,2.3529413,2.3529413,2.3529413,1.17647066,1.58823537,1.58823537,1.58823537,1.58823537,1.58823537,1.58823537,1.58823537,1.58823537,1.58823537,0.35294126,0.35294126,0.35294126,0.35294126,0.35294126,0.35294126,0.35294126,0.35294126,0.35294126,0.35294126,0.35294126,0.35294126,0.35294126,0.35294126,0.35294126,0.35294126,0.35294126,0.35294126,0.35294126,0.35294126,0.76470597,0.76470597,0.76470597,0.76470597,0.76470597,0.76470597,0.76470597,0.76470597,0.76470597,0.76470597,0.76470597,0.76470597,0.76470597,0.76470597,0.76470597,0.76470597,0.76470597,0.76470597,0.76470597,0.76470597,0.76470597,0.76470597,0.76470597,0.76470597,0.76470597,0.76470597,0.76470597,0.76470597,0.76470597,0.76470597
"2013",1.6829269,3.48780497,4.46341473,4.46341473,4.46341473,4.46341473,4.46341473,4.46341473,4.46341473,4.46341473,3.43902449,3.43902449,4.41463425,4.41463425,4.41463425,4.41463425,4.41463425,4.41463425,4.41463425,4.41463425,2.85365866,2.85365866,3.82926842,3.82926842,3.82926842,3.82926842,3.82926842,3.82926842,3.82926842,3.82926842,2.487805,2.487805,3.46341476,3.46341476,3.46341476,3.46341476,3.46341476,3.46341476,3.46341476,3.46341476,2.487805,2.487805,2.487805,2.487805,2.487805,2.487805,2.487805,2.487805,2.487805,2.487805,2.487805,2.487805,2.487805,2.487805,2.487805,2.487805,2.487805,2.487805,2.487805,2.487805,3.46341476,3.46341476,3.46341476,3.46341476,3.46341476,3.46341476,3.46341476,3.46341476,3.46341476,3.46341476,3.46341476,3.46341476,3.46341476,3.46341476,3.46341476,3.46341476,3.46341476,3.46341476,3.46341476,3.46341476,3.46341476,3.46341476,3.46341476,3.46341476,3.46341476,3.46341476,3.46341476,3.46341476,3.46341476,3.46341476
"2014",1.61538468,4.5384616,6.5384616,7.5384616,7.5384616,7.5384616,7.5384616,7.5384616,7.5384616,7.5384616,3.46153838,6.46153838,6.46153838,7.46153838,7.46153838,7.46153838,7.46153838,7.46153838,7.46153838,7.46153838,4.3846153,6.3846153,6.3846153,7.3846153,7.3846153,7.3846153,7.3846153,7.3846153,7.3846153,7.3846153,4.3846153,6.3846153,6.3846153,7.3846153,7.3846153,7.3846153,7.3846153,7.3846153,7.3846153,7.3846153,4.3846153,6.3846153,6.3846153,6.3846153,6.3846153,6.3846153,6.3846153,6.3846153,6.3846153,6.3846153,4.3846153,6.3846153,6.3846153,6.3846153,6.3846153,6.3846153,6.3846153,6.3846153,6.3846153,6.3846153,4.3846153,7.3846153,7.3846153,7.3846153,7.3846153,7.3846153,7.3846153,7.3846153,7.3846153,7.3846153,4.3846153,7.3846153,7.3846153,7.3846153,7.3846153,7.3846153,7.3846153,7.3846153,7.3846153,7.3846153,5.3846153,7.3846153,7.3846153,7.3846153,7.3846153,7.3846153,7.3846153,7.3846153,7.3846153,7.3846153
"2015",1.58108102,3.76351352,6.581081063,8.574324306,9.567567549,9.567567549,9.567567549,9.567567549,9.567567549,9.567567549,1.58108102,6.574324306,9.567567549,9.567567549,10.560810792,10.560810792,10.560810792,10.560810792,10.560810792,10.560810792,2.3581081,7.121621586,9.114864829,9.114864829,10.108108072,10.108108072,10.108108072,10.108108072,10.108108072,10.108108072,2.702702743,6.472972986,8.466216229,8.466216229,9.459459472,9.459459472,9.459459472,9.459459472,9.459459472,9.459459472,2.702702743,6.472972986,8.466216229,8.466216229,8.466216229,8.466216229,8.466216229,8.466216229,8.466216229,8.466216229,2.702702743,6.472972986,8.466216229,8.466216229,8.466216229,8.466216229,8.466216229,8.466216229,8.466216229,8.466216229,3.655405443,6.472972986,9.459459472,9.459459472,9.459459472,9.459459472,9.459459472,9.459459472,9.459459472,9.459459472,3.655405443,6.472972986,9.459459472,9.459459472,9.459459472,9.459459472,9.459459472,9.459459472,9.459459472,9.459459472,3.655405443,6.641891929,8.635135172,8.635135172,8.635135172,8.635135172,8.635135172,8.635135172,8.635135172,8.635135172
"2016",0.066666666,2.033333366,5.0166667,7.8,9.8,10.8,10.8,10.8,10.8,10.8,0.266666666,2.033333366,7.8,10.8,10.8,11.8,11.8,11.8,11.8,11.8,1.616666666,3.6,8.3833333,10.3833333,10.3833333,11.3833333,11.3833333,11.3833333,11.3833333,11.3833333,1.616666666,4.6,8.3833333,10.3833333,10.3833333,11.3833333,11.3833333,11.3833333,11.3833333,11.3833333,1.566666666,4.55,8.3333333,10.3333333,10.3333333,10.3333333,10.3333333,10.3333333,10.3333333,10.3333333,1.566666666,4.55,8.3333333,10.3333333,10.3333333,10.3333333,10.3333333,10.3333333,10.3333333,10.3333333,3.55,5.55,8.3333333,11.3333333,11.3333333,11.3333333,11.3333333,11.3333333,11.3333333,11.3333333,3.55,5.55,7.55,10.55,10.55,10.55,10.55,10.55,10.55,10.55,3.55,5.55,8.55,10.55,10.55,10.55,10.55,10.55,10.55,10.55
"2017",3.384105887,3.384105887,5.370860857,8.36423834,11.15894031,13.15894031,14.15894031,14.15894031,14.15894031,14.15894031,3.370860857,3.370860857,5.357615827,11.15894031,14.14569528,14.14569528,15.14569528,15.14569528,15.14569528,15.14569528,3.165562857,5.152317827,7.14569531,11.94039728,13.94039728,13.94039728,14.94039728,14.94039728,14.94039728,14.94039728,3.165562857,5.152317827,8.14569531,11.94039728,13.94039728,13.94039728,14.94039728,14.94039728,14.94039728,14.94039728,3.033112557,5.019867527,8.01324501,11.80794698,13.80794698,13.80794698,13.80794698,13.80794698,13.80794698,13.80794698,3.033112557,5.019867527,8.01324501,11.80794698,13.80794698,13.80794698,13.80794698,13.80794698,13.80794698,13.80794698,3.033112557,7.01324501,9.01324501,11.80794698,14.80794698,14.80794698,14.80794698,14.80794698,14.80794698,14.80794698,5.019867527,7.01324501,9.01324501,10.99999998,13.99999998,13.99999998,13.99999998,13.99999998,13.99999998,13.99999998,5.01324501,7.006622493,9.006622493,11.993377463,13.993377463,13.993377463,13.993377463,13.993377463,13.993377463,13.993377463
"2018",1.02020204,5.31313133,5.31313133,7.2828283,10.27272729,13.23232325,15.15151517,16.15151517,16.15151517,16.15151517,1.25252526,5.12121213,5.12121213,7.0909091,13.07070708,15.95959597,15.95959597,16.95959597,16.95959597,16.95959597,2.1919192,5.12121213,7.0909091,9.08080809,14.04040405,15.95959597,15.95959597,16.95959597,16.95959597,16.95959597,1.80808078,4.73737371,6.70707068,9.69696967,13.65656563,15.57575755,15.57575755,16.57575755,16.57575755,16.57575755,1.38383836,4.31313129,6.28282826,9.27272725,13.23232321,15.15151513,15.15151513,15.15151513,15.15151513,15.15151513,1.38383836,4.31313129,6.28282826,9.27272725,13.23232321,15.15151513,15.15151513,15.15151513,15.15151513,15.15151513,1.38383836,4.31313129,8.27272725,10.27272725,13.23232321,16.15151513,16.15151513,16.15151513,16.15151513,16.15151513,1.38383836,6.28282826,8.27272725,10.27272725,12.24242422,15.16161614,15.16161614,15.16161614,15.16161614,15.16161614,2.34343432,6.24242422,8.23232321,10.23232321,13.1212121,15.1212121,15.1212121,15.1212121,15.1212121,15.1212121
"2019",4.294117642,5.248366012,9.241830064,9.241830064,11.235294116,14.235294116,17.235294116,19.235294116,20.235294116,20.235294116,4.026143742,4.980392112,8.973856164,8.973856164,10.967320216,16.967320216,19.967320216,19.967320216,20.967320216,20.967320216,4.980392112,5.980392112,8.973856164,10.967320216,12.967320216,17.967320216,19.967320216,19.967320216,20.967320216,20.967320216,4.660130712,5.660130712,8.653594764,10.647058816,13.647058816,17.647058816,19.647058816,19.647058816,20.647058816,20.647058816,4.660130712,5.660130712,8.653594764,10.647058816,13.647058816,17.647058816,19.647058816,19.647058816,19.647058816,19.647058816,4.660130712,5.660130712,8.653594764,10.647058816,13.647058816,17.647058816,19.647058816,19.647058816,19.647058816,19.647058816,4.660130712,5.660130712,8.653594764,12.647058816,14.647058816,17.647058816,20.647058816,20.647058816,20.647058816,20.647058816,4.660130712,5.660130712,10.647058816,12.647058816,14.647058816,16.647058816,19.647058816,19.647058816,19.647058816,19.647058816,3.823529412,5.816993464,9.810457516,11.810457516,13.810457516,16.810457516,18.810457516,18.810457516,18.810457516,18.810457516
